client,status_count,descriptions_all_count,descriptions_all_percent,descriptions_some_count,descriptions_some_percent,descriptions_none_count,descriptions_none_percent
ZohoSocial Stage App,9,0,0,0,0,9,100
CracktroBotPublisher,9,9,100,0,0,0,0
seebot-mastodon4j,9,0,0,0,0,9,100
Grass Posting Bot,9,9,100,0,0,0,0
Red Dwarf Shuffle,9,0,0,0,0,9,100
miiketakashibot,9,0,0,0,0,9,100
BirdBuddy,9,9,100,0,0,0,0
antitrust_bot,8,8,100,0,0,0,0
hemelapp,8,0,0,0,0,8,100
Toot schedule,8,8,100,0,0,0,0
bot,8,8,100,0,0,0,0
Sidetoolz,8,1,12.5,0,0,7,87.5
trunks.social,7,4,57.14285714,0,0,3,42.85714286
retroVideoGameAdPublisher,7,7,100,0,0,0,0
WikiUntamedPoster,7,7,100,0,0,0,0
upcomingtrader blog,7,7,100,0,0,0,0
Tweepsmap,6,5,83.33333333,0,0,1,16.66666667
s2coastalbotapp,6,6,100,0,0,0,0
plane-notify,6,0,0,0,0,6,100
adani jets bot,6,0,0,0,0,6,100
BisaBoard,6,0,0,0,0,6,100
Zapier,5,2,40,0,0,3,60
The Pink Zune,5,0,0,0,0,5,100
SocialBu,5,0,0,0,0,5,100
Postpone.app,5,0,0,0,0,5,100
LostFilm push,5,0,0,0,0,5,100
FediPlan,5,5,100,0,0,0,0
whatscoolwithu,5,5,100,0,0,0,0
tmh observatory,4,0,0,0,0,4,100
Buddhist Images,4,4,100,0,0,0,0
Mixpost,4,0,0,0,0,4,100
Mona for iPad,4,4,100,0,0,0,0
GooglyEyesOnMagicCards,4,4,100,0,0,0,0
LGF Connect,4,4,100,0,0,0,0
avdelphi,4,4,100,0,0,0,0
Pinafore,4,2,50,0,0,2,50
RADAAR,4,2,50,0,0,2,50
Sengi,4,3,75,0,0,1,25
Fedistar,4,0,0,0,0,4,100
Geneee,4,0,0,0,0,4,100
Fun Random Website,4,4,100,0,0,0,0
Tuba,4,4,100,0,0,0,0
motorpuntoes,3,0,0,0,0,3,100
umapyoi.net,3,0,0,0,0,3,100
IFTTT,3,0,0,0,0,3,100
Whalebird,3,1,33.33333333,0,0,2,66.66666667
Tusky Test,3,3,100,0,0,0,0
Adven Token,3,0,0,0,0,3,100
jwz.org,3,3,100,0,0,0,0
Automatic posting bot,3,0,0,0,0,3,100
nitter-xposter,3,0,0,0,0,3,100
storyboardsai_socialmedia,3,0,0,0,0,3,100
Mastobot,3,3,100,0,0,0,0
Overpass,3,0,0,0,0,3,100
Photo Post,3,0,0,0,0,3,100
new_app,3,3,100,0,0,0,0
mastodon.social,3,1,33.33333333,0,0,2,66.66666667
Tokodon,3,0,0,0,0,3,100
Radaar,3,2,66.66666667,0,0,1,33.33333333
Mastonaut,3,0,0,0,0,3,100
mtxvp,2,2,100,0,0,0,0
Tootle,2,2,100,0,0,0,0
dazb,2,1,50,0,0,1,50
GuidaTV,2,0,0,0,0,2,100
Sync,2,0,0,0,0,2,100
Upluminate,2,0,0,0,0,2,100
Tumblr RSS,2,0,0,0,0,2,100
AmsterdamOpDeKaart-bot,2,2,100,0,0,0,0
Tusk.Ninja Tools,2,2,100,0,0,0,0
Wayne's Workshop,2,2,100,0,0,0,0
SH1TT3R,2,0,0,0,0,2,100
CountdownBot,2,2,100,0,0,0,0
VSbot,2,0,0,0,0,2,100
BirdNet-Pi,2,2,100,0,0,0,0
curl,2,0,0,0,0,2,100
commit-art,2,0,0,0,0,2,100
autopost,2,0,0,0,0,2,100
Apprise,2,2,100,0,0,0,0
Lastfm-Blue,2,0,0,0,0,2,100
The Quick Flash,2,2,100,0,0,0,0
overheard_convos,2,0,0,0,0,2,100
Statuzer,2,0,0,0,0,2,100
Tooty,2,2,100,0,0,0,0
jobstodey,2,0,0,0,0,2,100
SubwayTooter,2,0,0,0,0,2,100
TheDesk(PC),2,2,100,0,0,0,0
Mafalda Cinquetti,2,2,100,0,0,0,0
NieuweMobiel,2,0,0,0,0,2,100
skyfeeder josh412.xyz,2,2,100,0,0,0,0
stickerist-poster,2,0,0,0,0,2,100
AutoSocial,2,2,100,0,0,0,0
PhotosSync,1,0,0,0,0,1,100
DSP,1,0,0,0,0,1,100
DeltaChat Bridge,1,0,0,0,0,1,100
Twidere for Android,1,0,0,0,0,1,100
ABC Gazetesi,1,0,0,0,0,1,100
Pogo Fans,1,0,0,0,0,1,100
Subguide Mastadon,1,0,0,0,0,1,100
x-poster,1,0,0,0,0,1,100
Roma,1,0,0,0,0,1,100
atareao,1,1,100,0,0,0,0
Hexah Digital,1,0,0,0,0,1,100
Erik's Weblog,1,0,0,0,0,1,100
adactio.com,1,1,100,0,0,0,0
